month,ratio_quantity.00L,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H
1514764800,0.05196383057316997,0.04381715633165508,0.06637126658854083,0.0840073527306461,0.029830452684402924,0.11062249028523644,0.0,0.0,2.9388566026313834,0.039781743117340965,0.1602485715513168,0.05206172154514319,0.0,0.03422488351722767,0.1642722664065009
1517443200,0.0,0.006403456818427872,0.10761602952102277,0.0,0.0,0.0,0.0,0.042274904005585125,2.812264065780952,0.02329461460002151,0.10753164638465007,0.050023807133535075,0.0,0.0,0.1727051835019589
1519862400,0.05194662123094715,0.10424126446370464,0.0803082276207448,0.7280982938979541,0.0,0.05529304717249953,0.0,0.0,0.020262905129119897,0.013580998366899702,0.1744479142091153,1.803019859952681,0.0,0.0,0.033612651785604006
1522540800,0.0,0.009829838684017943,0.07535698187094139,0.052399334803927174,0.0,0.05527564378341835,0.0,0.0,0.047400499218257126,0.029872152505480858,0.08520168031205795,0.04420614489652636,0.0,0.0,0.4064250500859719
1525132800,0.05192269756551717,0.10419512257194305,0.09836101761748513,0.0,0.0,0.0,0.0,0.0,0.3355432506175304,0.03181370138227632,0.09656698646565016,0.0397674318507891,0.0,0.0,0.17211853949568423
1527811200,0.05192059631083345,0.018321305721752067,0.07534783588342568,0.0,0.0,0.05521091226256621,0.0,0.0,0.012678315713693239,0.0,0.11108480621282163,0.027383677275879384,0.0,0.0,0.4999358450410995
1530403200,0.05191325724211801,0.3067460877189638,0.09318665610421616,0.0,0.0,0.0,0.0,0.0,0.020281083996857303,0.01351858236046907,0.10055862508065513,0.09192927351653184,0.0,0.0,0.0
1533081600,0.10363505341788609,0.1375145202140422,0.018198900511030083,0.0,0.0,0.11013974044059334,0.0,0.0,0.0,0.026979565322877288,0.07848282748115057,0.05576891264540372,0.0,0.0,0.16186581808212094
1535760000,0.0,0.07029972267878334,0.04530311718373477,0.09677768422010832,0.0,0.05502175208101885,0.0,0.0,0.010107583485408578,0.145594783134603,0.09204207556898322,0.08009279877669996,0.0,0.021762552949496576,0.015779262360692072
1538352000,0.0,0.10966398122303984,0.014099624946345517,0.0,0.0,0.05496243628014515,0.0,0.0,0.010089466629259015,0.013465824229960203,0.041584899710658756,0.09128842934327672,0.09368319396473368,0.0,0.03696324600269104
1541030400,0.0,0.20335963115403885,0.01777188665096482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046076574984994054,0.012310791038820379,0.0,0.021598784084535076,0.07507550787393094
1543622400,0.0,0.02449001837885797,0.02464688972319083,0.0,0.0,0.0,0.0,0.0,0.0,0.013466713871801608,0.06929479355818176,0.05366432099761321,0.005416868491160089,0.0,0.038100491289380846
1546300800,0.0,0.011893660324243445,0.04151796394545379,0.0,0.0,0.0,0.0,0.041988407367280614,0.0,0.013463415395907022,0.03745069123640583,0.012304118378465597,0.0,0.0,0.16346838090551183
1548979200,0.0,0.039921678959774914,0.014138584363125404,0.0,0.0,0.0,0.0,0.0,0.06560696982509494,0.026915976066713653,0.03742482511545776,0.08856446765952203,0.0,0.0,0.31984199082944054
1551398400,0.0,0.051995640989900796,0.033506990040380644,0.042594214955545356,0.0,0.0,0.0,0.0,0.06557929984071434,0.22175183392190342,0.015448966695929121,0.03678646423374272,0.0,0.0,0.20780762951324724
1554076800,0.0,0.0,0.017796906134921804,0.0,0.0,0.0,0.0,0.0,0.13102060726190154,0.0,0.0,0.0,0.0,0.5766749477503056,0.0
1556668800,0.0,0.0,0.01605270568027426,0.0,0.0,0.0,0.09705647001699441,0.0,0.06540967186805113,0.013426401272150444,0.06567691597766404,0.0,0.0,0.0,0.0
1559347200,0.0,0.051928594924217496,0.01779474438066816,0.0,0.0,0.020366836991815462,0.0564762297667872,0.0,0.06538212537806946,0.013422280155279024,0.0,0.024566112370635274,0.021080164834750906,0.02140758882694366,0.0
1561939200,0.0,0.0,0.009366767431139391,0.0,0.0,0.0,0.0564500468030827,0.0,0.0,0.22099679571796108,0.015393868233326434,0.0827985260432228,0.0,0.08900115093719169,0.17178063937708016
1564617600,0.0,0.0,0.026896990891404,0.0,0.0,0.0,0.06135946129251042,0.0,0.0,0.013379167334612337,0.0,0.2555747849750899,0.024390689904280293,0.0,0.015877862126949256
1567296000,0.0,0.0,0.009353492708498248,0.0,0.0,0.0,0.0,0.0,0.0,0.12333550286688369,0.06541305915545227,0.0,0.0,0.0,0.06770478686715407
1569888000,0.0,0.05179225863484247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045453864724943,0.07128068851864808,0.44526602005744137,0.0,0.02120504765454449,0.015867315027164916
1572566400,0.0,0.0,0.02713948622369138,0.0,0.0,0.0,0.0,0.0,0.0,0.13899733955394306,0.015343576701040479,0.0,0.0,0.0,0.11967316453988557
1575158400,0.0,0.0,0.030685602798235286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021127296495195024,0.06777596238144575
1577836800,0.0,0.0,0.027144996625042175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015329663860599285,0.0,0.0,0.0,0.015886388718577556
1580515200,0.05156309258205217,0.05186607790569311,0.017807635370111857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03640095317905815,0.0,0.567807439717012,0.015898631917032387
1583020800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01528240610589652,0.0,0.038814439946018894,0.0,0.06770381242454511
1585699200,0.05144960679248495,0.012624163571117744,0.027139316338476785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036255065832477354,0.0,0.5652277436347674,0.03175119966170461
1588291200,0.0514537308257366,0.0853840907368581,0.01780413957238267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015290768417430994,0.0,0.0,0.02102563741916881,0.01588390954388654
1590969600,0.0,0.0,0.009367734119395522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04073685980051551,0.0,0.0,0.17147927324475853
1593561600,0.0,0.08535224523570396,0.017791220782878057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015269486181915745,0.0,0.0,0.020987251527709496,0.01587188590278927
1596240000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715071209441879
1598918400,0.0,0.0,0.01778407811004111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01525448794486688,0.0710962459504626,0.0,0.020945282178755877,0.17129633659330457
1601510400,0.0,0.03351149668589626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010858857425228437,0.0,0.0,0.0,0.015857652096353488
1604188800,0.0,0.05190763787984081,0.02719088268943061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015269058953071164,0.040545305167588044,0.0,0.0,0.17158291880825183
1606780800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015887069829602415
1609459200,0.0,0.05193859566000188,0.009380739676941332,0.0,0.0,0.0,0.0,0.0,0.06504687026357087,0.0,0.015251088691814543,0.0,0.0,0.0,0.015887712785832855
1612137600,0.0,0.0,0.027221160512858434,0.0,0.0,0.0,0.0,0.0,0.3902318239013011,0.0,0.0,0.0,0.0,0.0,0.01589679280471111
1614556800,0.0,0.0,0.027185945383029465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9727057659966027,0.0,0.0,0.0,0.015877938785694823
1617235200,0.0,0.0,0.017821738304741402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012003137182533272,0.0,0.0,0.015869475499142496
1619827200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3898939838619454,0.0,1.9722461938451543,0.0,0.0,0.0,0.015870973065650374
1622505600,0.0,0.05185953409198373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01584649816496394
1625097600,0.0,0.0,0.017820611893638698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9682463801233976,0.0,0.0,0.0,0.17808637606170075
1627776000,0.0,0.0,0.017835077982295913,0.0,0.0,0.0,0.0,0.0,0.39014630001071793,0.0,0.0,0.040180968712174005,0.0,0.0,0.015855983562579255
1630454400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040090485305296325,0.0,0.0,0.015824204605325274
1633046400,0.0,0.17782973764605842,0.017799697362277014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03165883269809185
1635724800,0.006277167218473408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023757119850951188
1638316800,0.0,0.17796588811250497,0.017774853258758102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02375992552434148
1640995200,0.0,0.033675943369478246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015846767330464178
1643673600,0.0,0.0,0.017807311060995437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004186848211115606,0.03541465712047314,0.0,0.0,0.015853878642399198
1646092800,0.0,0.03364112606174325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00835785061918866,0.0,0.0,0.0,0.19675492644512096
1648771200,0.0,0.0,0.017758636328749147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004176411448161058,0.07494255986638682,0.0,0.0,0.04760264421835459
1651363200,0.0,0.05203891810195535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045957150738169935,0.03563063306899071,0.0,0.0,0.01600184616132048
1654041600,0.0,0.0,0.019013536550079656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004592614230114128,0.0,0.0,0.0,0.01598537931871265
1656633600,0.0,0.029308574233252376,0.019003308130191826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04105373038639521,0.0,0.0,0.0,0.015962851506032317
1659312000,0.0,0.02928700389398791,0.00919381703382094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004577964063006736,0.03550641227557035,0.0,0.0,0.015937202001640786
1661990400,0.0,0.029278191044513343,0.3224407307322645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004574602041778948,0.035480658562025695,0.0,0.0,0.027637397843222583
1664582400,0.17845872985045644,0.0,0.31258261308105667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005258714016238825,0.040572739891640175,0.0,0.0,0.05519999516627995
1667260800,0.35705887270121806,0.11815562647635325,0.3123299791389706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052615295091506635,0.040457186687537075,0.0,0.0,0.13037368734020943
1669852800,0.0,0.05188017113025122,0.32080667719065026,0.0,0.0,0.0,0.0,0.0,0.0353968982602032,0.0,0.005253391165578902,0.0,0.0,0.0,0.018258365439443903
1672531200,0.0,0.11842466786490867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010523431525308664,0.0,0.0,0.0,0.02610522252812698
