month,ratio_quantity.06K,ratio_quantity.06L,ratio_quantity.06N,ratio_quantity.06Q,ratio_quantity.06T,ratio_quantity.07G,ratio_quantity.07H,ratio_quantity.07K,ratio_quantity.09D,ratio_quantity.10Q,ratio_quantity.10R,ratio_quantity.11J,ratio_quantity.11M,ratio_quantity.11N
1514764800,1.1259393299655682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021551985409305877,0.0,0.0,0.0,0.0
1517443200,0.3516910477881145,0.2456374783839019,0.4653796334359755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519862400,0.28116966580976865,0.0,0.0,0.0,0.15919130815457483,0.0,0.0,0.39921593989404813,0.0,0.22593521038871625,0.4337491541891493,0.0,0.0,0.1740631919011878
1522540800,0.35112007303297527,0.24539154675199748,0.3097629538995283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525132800,0.5614982645358699,0.0,0.15467473450081823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1527811200,0.2804950738052663,0.0,1.2364034260738936,0.0,0.3407145351659991,0.0,0.0,0.0,0.0,0.0,0.36458016857492553,0.0,0.0,0.0
1530403200,0.21021757519032186,0.24472675034690008,0.3087877917658647,0.0,0.0,1.8967619563744749,0.0,0.0,0.0,0.22521677114222433,0.0,0.0,0.0,0.0
1533081600,0.7002731065115398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535760000,0.27984095705607315,0.0,0.0,0.0,0.0,1.8908165964175778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538352000,0.4193534966925988,0.24431956999755677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24271003085884676,0.0,0.0,0.0
1541030400,0.20954877164505767,0.0,0.0,0.0,0.0,0.6743656747871535,0.0,0.6506568063066102,0.0,0.0,0.0,0.0,0.0,0.051871434919504175
1543622400,0.5152308899200895,0.24395063414967344,0.0,0.0,0.0,0.0,0.0,0.3966852976528131,0.0,0.0,0.0,0.0,0.0,0.0
1546300800,0.2792516056967327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13210406101093955,0.0,0.0,0.0,0.0
1548979200,0.27898912938785136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551398400,0.34840546432493963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1664839770455866,0.0,0.0,0.0
1554076800,0.3482829649826355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236030197524901
1556668800,0.27846242331923887,0.0,0.0,0.0,0.0,0.0,0.0,0.39503363711420014,0.0,0.0,0.0,0.0,0.0,0.0
1559347200,0.208785563969577,0.0,0.15289818509854292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561939200,0.4172758839376935,1.6308779559662945,0.15273191577751244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564617600,0.2777291017116708,0.0,0.30477723070264867,0.0,0.0,0.0,0.0,0.393941184581142,0.0,0.0,0.0,0.0,0.0,0.12034501195713651
1567296000,0.2776276715466339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569888000,0.20794755760642458,0.0,0.0,0.5047815431676558,0.0,0.0,0.0,1.3767061322424576,0.0,0.0,0.0,0.0,0.0,0.0
1572566400,0.2769042109218932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0334868184292847,0.0,0.0,0.0,0.0,0.0
1575158400,0.34575243138049055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17117073938912591
1577836800,0.2763717001959277,0.0,0.0,0.0,0.0,0.0,0.0,0.3889310230830562,0.0,0.0,0.0,0.0,0.0,0.17114144498144823
1580515200,0.2760960025243064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583020800,0.34479757919261544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585699200,0.3444373370073314,0.0,0.0,0.0,0.0,0.0,0.0,0.38841588465601906,0.0,0.0,0.0,0.0,0.0,0.0
1588291200,0.2756122529333018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590969600,0.2755363117496556,0.0,0.0,0.0,0.0,0.0,0.0,0.7770671930001788,0.0,0.0,0.0,0.0,0.0,0.0
1593561600,0.3440947604199266,0.0,0.3632593444682413,0.0,0.0,0.0,0.0,0.7766085504601407,0.0,0.0,0.0,0.0,0.0,0.0
1596240000,0.27508379412597866,0.0,0.635162601626016,0.0,0.0,0.0,0.0,0.38792167085622065,0.0,0.0,0.0,0.0,0.0,0.0
1598918400,0.4123819311256716,0.0,0.0,0.0,0.0,0.0,0.0,0.3877847794474068,0.0,0.0,0.0,0.0,0.0,0.0
1601510400,0.41227668346312396,0.0,0.0,0.0,0.0,0.0,0.0,0.3878043294475339,0.0,0.0,0.0,0.0,0.0,0.0
1604188800,0.2746520665115754,0.0,0.0,0.0,0.0,0.0,0.0,0.38781335318937704,0.0,0.0,0.0,0.0,0.0,0.0
1606780800,0.41162480725505074,0.0,0.0,0.0,0.0,0.0,0.0,0.3875172929591983,0.0,0.0,0.0,0.0,0.0,0.0
1609459200,0.41164834123687266,0.0,0.33270371675420296,0.0,0.0,0.0,0.0,0.387002894781653,0.0,0.0,0.0,0.0,0.15069568663736133,0.0
1612137600,0.5031232848069834,0.0,0.0,0.25049221720681136,0.0,0.0,0.0,0.38709727367390145,0.0,0.0,0.0,0.0,0.0,0.0
1614556800,0.5487040133779266,0.0,0.0,0.0,0.0,0.0,0.0,0.386824749047444,0.0,0.0,0.0,0.0,0.0,0.0
1617235200,0.20561961676420007,0.0,0.0,0.0,0.0,0.0,0.0,0.38576972633495615,0.0,0.0,0.0,0.0,0.0,0.16881170067659731
1619827200,0.0,0.0,0.0,0.0,0.0,0.0,0.14291262135922328,0.3854010097506455,0.0,0.0,0.0,0.0,0.0,0.0
1622505600,0.0,0.0,0.18098510190969444,0.0,0.0,0.0,0.0,0.3847766948451465,0.0,0.0,0.0,0.0,0.0,0.0
1625097600,0.06832423428054583,0.0,0.0,0.0,0.0,0.0,0.0,0.38395527688934794,0.0,0.0,0.0,0.0,0.0,0.0
1627776000,0.0,0.0,0.0,0.0,0.154478071010259,0.0,0.0,0.383351798111609,0.0,0.0,0.0,0.07367359894302947,0.0,0.0
1630454400,0.1624133321856124,0.0,0.0,0.0,0.46309057831192474,0.0,0.0,0.3828996994237359,0.0,0.0,0.0,0.0,0.0,0.0
1633046400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7656176428929627,0.0,0.0,0.0,0.0,0.0,0.0
1635724800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3827414237215479,0.0,0.0,0.0,0.10273884641398616,0.0,0.0
1638316800,0.0,0.0,0.17969721020081164,0.0,0.0,0.0,0.6171563287838625,0.38235069205475253,0.0,0.0,0.0,0.10263089409835705,0.0,0.0
1640995200,0.16221573719752846,0.0,0.0,0.0,0.0,0.0,0.0,0.38193449823355297,0.0,0.0,0.0,0.10256360164297124,0.0,0.0
1643673600,0.0,0.0,0.0,0.0,0.15330285526567938,0.0,0.0,0.38162840841872264,0.0,0.0,0.0,0.2245087954981106,0.08308272517273049,0.0
1646092800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3813097226353077,0.0,0.1259047832486204,0.0,0.06831451024595661,0.0,0.0
1648771200,0.0,0.0,0.17917026251429635,0.0,0.0,0.0,0.0,0.3811977997263,0.0,0.07045921795300876,0.0,0.06828843571924183,0.0,0.0
1651363200,0.0,0.0,0.0,0.0,0.15299167014995915,0.0,0.0,0.3808725790786693,0.0,0.0,0.0,0.13655805424281003,0.0,0.0
1654041600,0.16202045994368167,0.0,0.17891221374045801,0.0,0.1528897528373335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656633600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37989013577273445,0.0,0.0,0.0,0.0,0.14775239063368048,0.0
1659312000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3792864105471965,0.0,0.0,0.0,0.13637066520879937,0.0,0.0
1661990400,0.0,0.0,0.1780748329806462,0.0,0.3053476737687264,0.0,0.0,0.37877209661718636,0.0,0.012538398846467307,0.0,0.0340755308480913,0.0,0.0
1664582400,0.0,0.0,0.0,0.0,0.6104756531953222,0.0,0.0,0.3784051735555329,0.0,0.0,0.0,0.03400885444817598,0.0,0.0
1667260800,0.0,0.0,0.17787079761712427,0.0,0.0,0.0,0.0,0.0,0.0,0.12427315737082738,0.0,0.0679620723092177,0.0,0.0
1669852800,0.0,0.0,0.0,0.0,0.15175082514511173,0.0,0.0,0.0,0.0,0.0,0.0,0.03395593974275951,0.0,0.0
1672531200,0.0,0.0,0.0,0.0,0.6061934568993745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
